,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,_c0,colorful,bright_avg,bright_sd,bright_max,bright_min,saturation_avg,saturation_sd,saturation_max,bsaturation_min,tex_cobtrast,tex_energy,tex_homogeneity,tex_correlation ,tex_dissimilarity,tex_ASM
47,47,47,47,https://scontent.xx.fbcdn.net/v/t45.1600-4/12503459_6056001754376_6052924730539769856_n.png?_nc_cat=0&oh=9c20e365b66f000429354429f1ab9be0&oe=5B903C8B,62.323491787,188.907590878,92.0685805715,255,9,47.1426294582,82.0777172294,255,0,575.929373048,0.592133958132,0.714095136925,0.966022286537,6.59537723544,0.350622624373
48,48,48,48,https://scontent.xx.fbcdn.net/v/t45.1600-4/16175870_6060874772973_9220351347700793344_n.png?_nc_cat=0&oh=0f3a8090ccd18ae65d4e00b06169770f&oe=5B55E444,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
49,49,49,49,https://scontent.xx.fbcdn.net/v/t45.1600-4/14291618_6062319171796_6493385974775545856_n.png?_nc_cat=0&oh=f65c766e4d47d8bb3844c6ac168f4612&oe=5B53EECB,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
50,50,50,50,https://scontent.xx.fbcdn.net/v/t45.1600-4/19982486_6065675543615_1099729206524248064_n.png?_nc_cat=0&oh=9f8ddd0d0cdbf9c18ad19dafdfcb6a79&oe=5B573391,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
51,51,51,51,https://scontent.xx.fbcdn.net/v/t45.1600-4/20862933_6067486548015_9211092003801006080_n.png?_nc_cat=0&oh=a004e33bead8113950824a62e0ccdeff&oe=5B9B1F6C,63.6659795563,189.566640166,41.5452892115,255,7,125.021905577,66.2816344152,255,0,185.752082976,0.541248470096,0.929832545129,0.946278561212,2.48310951552,0.292949906382
52,52,52,52,https://scontent.xx.fbcdn.net/v/t45.1600-4/19981637_6069684235899_5486893524630634496_n.png?_nc_cat=0&oh=94a428b9f3bdc466ce31c5992352c2d5&oe=5B93B4A3,113.051600091,120.768314756,84.0332215879,255,0,146.025554671,89.8693339909,255,0,204.950830841,0.126449402482,0.579188896528,0.985491481285,4.02908607491,0.0159894513882
53,53,53,53,https://scontent.xx.fbcdn.net/v/t45.1600-4/27702317_6078975348615_8251112812521193472_n.png?_nc_cat=0&oh=8a782ff7b9fcc97732cf4008bc876ce1&oe=5B971CF6,53.5281652412,240.111999735,43.4626812046,255,0,24.7915392781,68.1426532636,255,0,94.1658335237,0.86037392818,0.948050269435,0.975093610744,1.36789415808,0.740243296292
54,54,54,54,https://scontent.xx.fbcdn.net/v/t45.1600-4/19981941_6079799180676_6131322821588025344_n.png?_nc_cat=0&oh=ca0e2a993f733cbe1c661736e934abda&oe=5B9B9301,79.8310834624,206.928450106,49.3958112102,255,0,145.223910563,69.5070085034,255,0,237.47044246,0.117739676571,0.747995464855,0.951329615843,4.03373033791,0.013862631439
55,55,55,55,https://scontent.xx.fbcdn.net/v/t45.1600-4/26755947_6082089901299_3356580009123774464_n.png?_nc_cat=0&oh=0256b5966af070d718cc5e161da451ee&oe=5B878B13,92.8256296289,195.513073248,83.7288603672,255,0,95.6536119958,109.877816838,255,0,265.208675754,0.492442288129,0.776779677624,0.981080950398,3.92876096322,0.242499407138
56,56,56,56,https://scontent.xx.fbcdn.net/v/t45.1600-4/19115772_6083722249456_643065558941564928_n.png?_nc_cat=0&oh=776f0596c4ae6b81424a09e056009c33&oe=5B53B94E,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
